diagnose_code,diagnose_description,diagnose_id
H25091,"Other age-related incipient cataract, right eye",1
H25092,"Other age-related incipient cataract, left eye ",1
H25093,"Other age-related incipient cataract, bilateral ",1
H25099,"Other age-related incipient cataract, unspecified eye ",1
H2510,"Age-related nuclear cataract, unspecified eye ",1
H2511,"Age-related nuclear cataract, right eye",1
H2512,"Age-related nuclear cataract, left eye",1
H2513,"Age-related nuclear cataract, bilateral",1
H2520,"Age-related cataract, morgagnian type, unspecified eye ",1
H2521,"Age-related cataract, morgagnian type, right eye ",1
H2522,"Age-related cataract, morgagnian type, left eye",1
H2523,"Age-related cataract, morgagnian type, bilateral ",1
H25811,"Combined forms of age-related cataract, right eye ",1
H25812,"Combined forms of age-related cataract, left eye ",1
H25813,"Combined forms of age-related cataract, bilateral",1
H25819,"Combined forms of age-related cataract, unspecified eye ",1
H2589,Other age-related cataract,1
H259,Unspecified age-related cataract ,1
H31111,"Age-related choroidal atrophy, right eye ",1
H31112,"Age-related choroidal atrophy, left eye ",1
H31113,"Age-related choroidal atrophy, bilateral",1
H31119,"Age-related choroidal atrophy, unspecified eye ",1
H3530,Unspecified macular degeneration,1
H3531,Nonexudative age-related macular degeneration ,1
H3532,Exudative age-related macular degeneration ,1
H35441,"Age-related reticular degeneration of retina, right eye ",1
H35442,"Age-related reticular degeneration of retina, left eye ",1
H35443,"Age-related reticular degeneration of retina, bilateral",1
H35449,"Age-related reticular degeneration of retina, unsp eye ",1
H43821,"Vitreomacular adhesion, right eye",1
H43822,"Vitreomacular adhesion, left eye ",1
H43823,"Vitreomacular adhesion, bilateral ",1
H43829,"Vitreomacular adhesion, unspecified eye ",1
I200,Unstable angina,1
I201,Angina pectoris with documented spasm ,1
I208,Other forms of angina pectoris,1
I209,"Angina pectoris, unspecified",1
I2101,STEMI involving left main coronary artery,1
I2102,STEMI involving left anterior descending coronary artery ,1
I2109,STEMI involving oth coronary artery of anterior wall ,1
I2111,STEMI involving right coronary artery,1
I2119,STEMI involving oth coronary artery of inferior wall ,1
I2121,STEMI involving left circumflex coronary artery ,1
I2129,STEMI involving oth sites,1
I213,ST elevation (STEMI) myocardial infarction of unsp site ,1
I214,Non-ST elevation (NSTEMI) myocardial infarction,1
I220,Subsequent STEMI of anterior wall,1
I221,Subsequent STEMI of inferior wall,1
I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction ,1
I228,Subsequent STEMI of sites,1
I229,Subsequent STEMI of unsp site,1
I230,Hemopericardium as current complication following AMI ,1
I231,Atrial septal defect as current complication following AMI ,1
I232,Ventricular septal defect as current comp following AMI ,1
I233,Rupture of card wall w/o hemoperic as current comp fol AMI,1
I236,Thombos of atrium/auric append/ventr as current comp fol AMI ,1
I237,Postinfarction angina,1
I238,Oth current complications following AMI,1
I240,Acute coronary thrombosis not resulting in myocardial infrc ,1
I241,Dressler's syndrome,1
I248,Other forms of acute ischemic heart disease ,1
I249,"Acute ischemic heart disease, unspecified",1
I2510,Athscl heart disease of native coronary artery w/o ang pctrs ,1
I25110,Athscl heart disease of native cor art w unstable ang pctrs ,1
I25111,Athscl heart disease of native cor art w ang pctrs w spasm ,1
I25118,Athscl heart disease of native cor art w oth ang pctrs,1
I25119,Athscl heart disease of native cor art w unsp ang pctrs ,1
I252,Old myocardial infarction,1
I25700,"Atherosclerosis of CABG, unsp, w unstable angina pectoris ",1
I25701,"Athscl CABG, unsp, w angina pectoris w documented spasm ",1
I25708,"Atherosclerosis of CABG, unsp, w oth angina pectoris ",1
I25709,"Atherosclerosis of CABG, unsp, w unsp angina pectoris ",1
I25710,Athscl autologous vein CABG w unstable angina pectoris,1
I25711,Athscl autologous vein CABG w ang pctrs w documented spasm ,1
I25718,Athscl autologous vein CABG w oth angina pectoris,1
I25719,Athscl autologous vein CABG w unsp angina pectoris ,1
I25720,Athscl autologous artery CABG w unstable angina pectoris,1
I25721,Athscl autologous artery CABG w ang pctrs w documented spasm ,1
I25728,Athscl autologous artery CABG w oth angina pectoris,1
I25729,Athscl autologous artery CABG w unsp angina pectoris ,1
I25730,Athscl nonautologous biological CABG w unstable ang pctrs,1
I25731,Athscl nonaut biological CABG w ang pctrs w documented spasm ,1
I25738,Athscl nonautologous biological CABG w oth angina pectoris ,1
I25739,Athscl nonautologous biological CABG w unsp angina pectoris ,1
I25750,Athscl native cor art of txplt heart w unstable angina,1
I25751,Athscl native cor art of txplt heart w ang pctrs w spasm ,1
I25758,Athscl native cor art of transplanted heart w oth ang pctrs ,1
I25759,Athscl native cor art of transplanted heart w unsp ang pctrs ,1
I25760,Athscl bypass of cor art of txplt heart w unstable angina ,1
I25761,Athscl bypass of cor art of txplt heart w ang pctrs w spasm ,1
I25768,Athscl bypass of cor art of txplt heart w oth ang pctrs ,1
I25769,Athscl bypass of cor art of txplt heart w unsp ang pctrs ,1
I25790,Atherosclerosis of CABG w unstable angina pectoris,1
I25791,Atherosclerosis of CABG w angina pectoris w documented spasm ,1
I25798,Atherosclerosis of CABG w oth angina pectoris,1
I25799,Atherosclerosis of CABG w unsp angina pectoris ,1
I25810,Atherosclerosis of CABG w/o angina pectoris,1
I25811,Athscl native cor art of transplanted heart w/o ang pctrs ,1
I25812,Athscl bypass of cor art of transplanted heart w/o ang pctrs ,1
I2583,Coronary atherosclerosis due to lipid rich plaque,1
I510,"Cardiac septal defect, acquired",1
I513,"Intracardiac thrombosis, not elsewhere classified ",1
I63011,Cerebral infarction due to thrombosis of r verteb art ,1
I63012,Cerebral infarction due to thrombosis of l verteb art ,1
I63019,Cerebral infarction due to thombos unsp vertebral artery ,1
I6302,Cerebral infarction due to thrombosis of basilar artery ,1
I63111,Cerebral infarction due to embolism of r verteb art,1
I63112,Cerebral infarction due to embolism of left vertebral artery ,1
I63119,Cerebral infarction due to embolism of unsp vertebral artery ,1
I6312,Cerebral infarction due to embolism of basilar artery,1
I63211,Cereb infrc due to unsp occls or stenos of right verteb art ,1
I63212,Cereb infrc due to unsp occls or stenosis of left verteb art ,1
I63219,Cereb infrc due to unsp occls or stenosis of unsp verteb art ,1
I6322,Cerebral infrc due to unsp occls or stenosis of basilar art ,1
I6330,Cerebral infarction due to thombos unsp cerebral artery ,1
I63311,Cereb infrc due to thombos of right middle cerebral artery ,1
I63312,Cerebral infrc due to thombos of left middle cerebral artery ,1
I63319,Cerebral infrc due to thombos unsp middle cerebral artery ,1
I63321,Cerebral infrc due to thombos of right ant cerebral artery ,1
I63322,Cerebral infrc due to thombos of left ant cerebral artery ,1
I63329,Cerebral infrc due to thombos unsp anterior cerebral artery ,1
I63331,Cerebral infrc due to thombos of right post cerebral artery ,1
I63332,Cerebral infrc due to thombos of left post cerebral artery ,1
I63339,Cerebral infrc due to thombos unsp posterior cerebral artery ,1
I63341,Cerebral infrc due to thrombosis of right cereblr artery,1
I63342,Cerebral infarction due to thrombosis of left cereblr artery ,1
I63349,Cerebral infarction due to thombos unsp cerebellar artery ,1
I6339,Cerebral infarction due to thrombosis of oth cerebral artery ,1
I6340,Cerebral infarction due to embolism of unsp cerebral artery ,1
I63411,Cereb infrc due to embolism of right middle cerebral artery ,1
I63412,Cereb infrc due to embolism of left middle cerebral artery ,1
I63419,Cereb infrc due to embolism of unsp middle cerebral artery ,1
I63421,Cerebral infrc due to embolism of right ant cerebral artery ,1
I63422,Cerebral infrc due to embolism of left ant cerebral artery ,1
I63429,Cerebral infrc due to embolism of unsp ant cerebral artery ,1
I63431,Cerebral infrc due to embolism of right post cerebral artery ,1
I63432,Cerebral infrc due to embolism of left post cerebral artery ,1
I63439,Cerebral infrc due to embolism of unsp post cerebral artery ,1
I63441,Cerebral infarction due to embolism of right cereblr artery ,1
I63442,Cerebral infarction due to embolism of left cereblr artery ,1
I63449,Cerebral infarction due to embolism of unsp cereblr artery ,1
I6349,Cerebral infarction due to embolism of other cerebral artery ,1
I636,"Cerebral infrc due to cerebral venous thombos, nonpyogenic ",1
I6501,Occlusion and stenosis of right vertebral artery,1
I6502,Occlusion and stenosis of left vertebral artery,1
I6503,Occlusion and stenosis of bilateral vertebral arteries ,1
I6509,Occlusion and stenosis of unspecified vertebral artery ,1
I651,Occlusion and stenosis of basilar artery,1
I6521,Occlusion and stenosis of right carotid artery ,1
I6522,Occlusion and stenosis of left carotid artery,1
I6523,Occlusion and stenosis of bilateral carotid arteries ,1
I6529,Occlusion and stenosis of unspecified carotid artery ,1
I658,Occlusion and stenosis of other precerebral arteries,1
I659,Occlusion and stenosis of unspecified precerebral artery ,1
I6601,Occlusion and stenosis of right middle cerebral artery ,1
I6602,Occlusion and stenosis of left middle cerebral artery,1
I6603,Occlusion and stenosis of bilateral middle cerebral arteries ,1
I6609,Occlusion and stenosis of unspecified middle cerebral artery ,1
I6611,Occlusion and stenosis of right anterior cerebral artery ,1
I6612,Occlusion and stenosis of left anterior cerebral artery,1
I6613,Occlusion and stenosis of bi anterior cerebral arteries ,1
I6619,Occlusion and stenosis of unsp anterior cerebral artery ,1
I6621,Occlusion and stenosis of right posterior cerebral artery ,1
I6622,Occlusion and stenosis of left posterior cerebral artery ,1
I6623,Occlusion and stenosis of bi posterior cerebral arteries ,1
I6629,Occlusion and stenosis of unsp posterior cerebral artery ,1
I663,Occlusion and stenosis of cerebellar arteries,1
I668,Occlusion and stenosis of other cerebral arteries ,1
I669,Occlusion and stenosis of unspecified cerebral artery ,1
I672,Cerebral atherosclerosis,1
I67841,Reversible cerebrovascular vasoconstriction syndrome ,1
I67848,Other cerebrovascular vasospasm and vasoconstriction ,1
I700,Atherosclerosis of aorta,1
I701,Atherosclerosis of renal artery,1
I70201,"Unsp athscl native arteries of extremities, right leg ",1
I70202,"Unsp athscl native arteries of extremities, left leg ",1
I70203,"Unsp athscl native arteries of extremities, bilateral legs ",1
I70208,"Unsp athscl native arteries of extremities, oth extremity",1
I70209,"Unsp athscl native arteries of extremities, unsp extremity ",1
I70211,"Athscl native arteries of extrm w intrmt claud, right leg ",1
I70212,"Athscl native arteries of extrm w intrmt claud, left leg ",1
I70213,"Athscl native arteries of extrm w intrmt claud, bi legs ",1
I70218,"Athscl native arteries of extrm w intrmt claud, oth extrm ",1
I70219,"Athscl native arteries of extrm w intrmt claud, unsp extrm",1
I70221,"Athscl native arteries of extremities w rest pain, right leg ",1
I70222,"Athscl native arteries of extremities w rest pain, left leg ",1
I70223,"Athscl native arteries of extrm w rest pain, bilateral legs ",1
I70228,"Athscl native arteries of extrm w rest pain, oth extremity ",1
I70229,"Athscl native arteries of extrm w rest pain, unsp extremity ",1
I70231,Athscl native arteries of right leg w ulceration of thigh ,1
I70232,Athscl native arteries of right leg w ulceration of calf ,1
I70233,Athscl native arteries of right leg w ulceration of ankle ,1
I70234,Athscl native art of right leg w ulcer of heel and midfoot ,1
I70235,Athscl native arteries of right leg w ulcer oth prt foot ,1
I70238,Athscl natv art of right leg w ulcer oth prt lower right leg ,1
I70239,Athscl native arteries of right leg w ulcer of unsp site ,1
I70241,Athscl native arteries of left leg w ulceration of thigh ,1
I70242,Athscl native arteries of left leg w ulceration of calf ,1
I70243,Athscl native arteries of left leg w ulceration of ankle ,1
I70244,Athscl native art of left leg w ulcer of heel and midfoot ,1
I70245,Athscl native arteries of left leg w ulceration oth prt foot ,1
I70248,Athscl native art of left leg w ulcer oth prt lower left leg ,1
I70249,Athscl native arteries of left leg w ulceration of unsp site ,1
I7025,Athscl native arteries of extremities w ulceration,1
I70261,"Athscl native arteries of extremities w gangrene, right leg ",1
I70262,"Athscl native arteries of extremities w gangrene, left leg ",1
I70263,"Athscl native arteries of extrm w gangrene, bilateral legs ",1
I70268,"Athscl native arteries of extrm w gangrene, oth extremity ",1
I70269,"Athscl native arteries of extrm w gangrene, unsp extremity ",1
I70291,"Oth athscl native arteries of extremities, right leg",1
I70292,"Oth athscl native arteries of extremities, left leg ",1
I70293,"Oth athscl native arteries of extremities, bilateral legs ",1
I70298,"Oth athscl native arteries of extremities, oth extremity",1
I70299,"Oth athscl native arteries of extremities, unsp extremity ",1
I70301,"Unsp athscl unsp type bypass of the extremities, right leg ",1
I70302,"Unsp athscl unsp type bypass of the extremities, left leg ",1
I70303,"Unsp athscl unsp type bypass of the extrm, bilateral legs ",1
I70308,"Unsp athscl unsp type bypass of the extrm, oth extremity ",1
I70309,"Unsp athscl unsp type bypass of the extrm, unsp extremity ",1
I70311,"Athscl unsp type bypass of extrm w intrmt claud, right leg ",1
I70312,"Athscl unsp type bypass of extrm w intrmt claud, left leg ",1
I70313,"Athscl unsp type bypass of the extrm w intrmt claud, bi legs ",1
I70318,"Athscl unsp type bypass of extrm w intrmt claud, oth extrm ",1
I70319,"Athscl unsp type bypass of extrm w intrmt claud, unsp extrm ",1
I70321,"Athscl unsp type bypass of the extrm w rest pain, right leg ",1
I70322,"Athscl unsp type bypass of the extrm w rest pain, left leg ",1
I70323,"Athscl unsp type bypass of the extrm w rest pain, bi legs ",1
I70328,"Athscl unsp type bypass of the extrm w rest pain, oth extrm ",1
I70329,"Athscl unsp type bypass of the extrm w rest pain, unsp extrm ",1
I70331,Athscl unsp type bypass of the right leg w ulcer of thigh ,1
I70332,Athscl unsp type bypass of the right leg w ulcer of calf ,1
I70333,Athscl unsp type bypass of the right leg w ulcer of ankle ,1
I70334,Athscl unsp type bypass of r leg w ulcer of heel and midft ,1
I70335,Athscl unsp type bypass of right leg w ulcer oth prt foot ,1
I70338,Athscl unsp type bypass of right leg w ulcer oth prt low leg ,1
I70339,Athscl unsp type bypass of right leg w ulcer of unsp site ,1
I70341,Athscl unsp type bypass of the left leg w ulcer of thigh ,1
I70342,Athscl unsp type bypass of the left leg w ulceration of calf ,1
I70343,Athscl unsp type bypass of the left leg w ulcer of ankle ,1
I70344,Athscl unsp type bypass of left leg w ulc of heel and midft ,1
I70345,Athscl unsp type bypass of the left leg w ulcer oth prt foot ,1
I70348,Athscl unsp type bypass of left leg w ulcer oth prt low leg ,1
I70349,Athscl unsp type bypass of the left leg w ulcer of unsp site,1
I7035,Athscl unsp type bypass graft(s) of extremity w ulceration ,1
I70361,"Athscl unsp type bypass of the extrm w gangrene, right leg ",1
I70362,"Athscl unsp type bypass of the extrm w gangrene, left leg ",1
I70363,"Athscl unsp type bypass of the extrm w gangrene, bi legs ",1
I70368,"Athscl unsp type bypass of the extrm w gangrene, oth extrm ",1
I70369,"Athscl unsp type bypass of the extrm w gangrene, unsp extrm ",1
I70391,"Oth athscl unsp type bypass of the extremities, right leg ",1
I70392,"Oth athscl unsp type bypass of the extremities, left leg",1
I70393,"Oth athscl unsp type bypass of the extrm, bilateral legs ",1
I70398,"Oth athscl unsp type bypass of the extrm, oth extremity ",1
I70399,"Oth athscl unsp type bypass of the extrm, unsp extremity ",1
I70401,"Unsp athscl autologous vein bypass of the extrm, right leg ",1
I70402,"Unsp athscl autologous vein bypass of the extrm, left leg ",1
I70403,"Unsp athscl autol vein bypass of the extrm, bilateral legs ",1
I70408,"Unsp athscl autol vein bypass of the extrm, oth extremity ",1
I70409,"Unsp athscl autol vein bypass of the extrm, unsp extremity ",1
I70411,"Athscl autol vein bypass of extrm w intrmt claud, right leg ",1
I70412,"Athscl autol vein bypass of extrm w intrmt claud, left leg ",1
I70413,"Athscl autol vein bypass of extrm w intrmt claud, bi legs ",1
I70418,"Athscl autol vein bypass of extrm w intrmt claud, oth extrm ",1
I70419,"Athscl autol vein bypass of extrm w intrmt claud, unsp extrm ",1
I70421,"Athscl autol vein bypass of the extrm w rest pain, right leg ",1
I70422,"Athscl autol vein bypass of the extrm w rest pain, left leg ",1
I70423,"Athscl autol vein bypass of the extrm w rest pain, bi legs ",1
I70428,"Athscl autol vein bypass of the extrm w rest pain, oth extrm ",1
I70429,"Athscl autol vein bypass of extrm w rest pain, unsp extrm ",1
I70431,Athscl autol vein bypass of the right leg w ulcer of thigh ,1
I70432,Athscl autol vein bypass of the right leg w ulcer of calf ,1
I70433,Athscl autol vein bypass of the right leg w ulcer of ankle ,1
I70434,Athscl autol vein bypass of r leg w ulcer of heel and midft ,1
I70435,Athscl autol vein bypass of right leg w ulcer oth prt foot ,1
I70438,Athscl autol vein bypass of r leg w ulcer oth prt low leg ,1
I70439,Athscl autol vein bypass of right leg w ulcer of unsp site ,1
I70441,Athscl autol vein bypass of the left leg w ulcer of thigh ,1
I70442,Athscl autol vein bypass of the left leg w ulcer of calf,1
I70443,Athscl autol vein bypass of the left leg w ulcer of ankle ,1
I70444,Athscl autol vein bypass of left leg w ulc of heel and midft ,1
I70445,Athscl autol vein bypass of left leg w ulcer oth prt foot ,1
I70448,Athscl autol vein bypass of left leg w ulcer oth prt low leg ,1
I70449,Athscl autol vein bypass of left leg w ulcer of unsp site ,1
I7045,Athscl autologous vein bypass of extremity w ulceration ,1
I70461,"Athscl autol vein bypass of the extrm w gangrene, right leg ",1
I70462,"Athscl autol vein bypass of the extrm w gangrene, left leg ",1
I70463,"Athscl autol vein bypass of the extrm w gangrene, bi legs ",1
I70468,"Athscl autol vein bypass of the extrm w gangrene, oth extrm",1
I70469,"Athscl autol vein bypass of the extrm w gangrene, unsp extrm ",1
I70491,"Oth athscl autologous vein bypass of the extrm, right leg ",1
I70492,"Oth athscl autologous vein bypass of the extrm, left leg ",1
I70493,"Oth athscl autol vein bypass of the extrm, bilateral legs ",1
I70498,"Oth athscl autol vein bypass of the extrm, oth extremity ",1
I70499,"Oth athscl autol vein bypass of the extrm, unsp extremity ",1
I70501,"Unsp athscl nonaut bio bypass of the extremities, right leg ",1
I70502,"Unsp athscl nonaut bio bypass of the extremities, left leg ",1
I70503,"Unsp athscl nonaut bio bypass of the extrm, bilateral legs ",1
I70508,"Unsp athscl nonaut bio bypass of the extrm, oth extremity ",1
I70509,"Unsp athscl nonaut bio bypass of the extrm, unsp extremity ",1
I70511,"Athscl nonaut bio bypass of extrm w intrmt claud, right leg ",1
I70512,"Athscl nonaut bio bypass of extrm w intrmt claud, left leg ",1
I70513,"Athscl nonaut bio bypass of extrm w intrmt claud, bi legs",1
I70518,"Athscl nonaut bio bypass of extrm w intrmt claud, oth extrm ",1
I70519,"Athscl nonaut bio bypass of extrm w intrmt claud, unsp extrm ",1
I70521,"Athscl nonaut bio bypass of the extrm w rest pain, right leg ",1
I70522,"Athscl nonaut bio bypass of the extrm w rest pain, left leg ",1
I70523,"Athscl nonaut bio bypass of the extrm w rest pain, bi legs ",1
I70528,"Athscl nonaut bio bypass of the extrm w rest pain, oth extrm ",1
I70529,"Athscl nonaut bio bypass of extrm w rest pain, unsp extrm ",1
I70531,Athscl nonaut bio bypass of the right leg w ulcer of thigh ,1
I70532,Athscl nonaut bio bypass of the right leg w ulcer of calf ,1
I70533,Athscl nonaut bio bypass of the right leg w ulcer of ankle ,1
I70534,Athscl nonaut bio bypass of r leg w ulcer of heel and midft ,1
I70535,Athscl nonaut bio bypass of right leg w ulcer oth prt foot ,1
I70538,Athscl nonaut bio bypass of r leg w ulcer oth prt low leg ,1
I70539,Athscl nonaut bio bypass of right leg w ulcer of unsp site ,1
I70541,Athscl nonaut bio bypass of the left leg w ulcer of thigh ,1
I70542,Athscl nonaut bio bypass of the left leg w ulcer of calf,1
I70543,Athscl nonaut bio bypass of the left leg w ulcer of ankle ,1
I70544,Athscl nonaut bio bypass of left leg w ulc of heel and midft ,1
I70545,Athscl nonaut bio bypass of left leg w ulcer oth prt foot ,1
I70548,Athscl nonaut bio bypass of left leg w ulcer oth prt low leg ,1
I70549,Athscl nonaut bio bypass of left leg w ulcer of unsp site ,1
I7055,Athscl nonautologous bio bypass of extremity w ulceration ,1
I70561,"Athscl nonaut bio bypass of the extrm w gangrene, right leg ",1
I70562,"Athscl nonaut bio bypass of the extrm w gangrene, left leg ",1
I70563,"Athscl nonaut bio bypass of the extrm w gangrene, bi legs ",1
I70568,"Athscl nonaut bio bypass of the extrm w gangrene, oth extrm",1
I70569,"Athscl nonaut bio bypass of the extrm w gangrene, unsp extrm ",1
I70591,"Oth athscl nonaut bio bypass of the extremities, right leg ",1
I70592,"Oth athscl nonaut bio bypass of the extremities, left leg",1
I70593,"Oth athscl nonaut bio bypass of the extrm, bilateral legs ",1
I70598,"Oth athscl nonaut bio bypass of the extrm, oth extremity ",1
I70599,"Oth athscl nonaut bio bypass of the extrm, unsp extremity ",1
I70601,"Unsp athscl nonbiol bypass of the extremities, right leg ",1
I70602,"Unsp athscl nonbiol bypass of the extremities, left leg ",1
I70603,"Unsp athscl nonbiol bypass of the extrm, bilateral legs ",1
I70608,"Unsp athscl nonbiol bypass of the extremities, oth extremity ",1
I70609,"Unsp athscl nonbiol bypass of the extrm, unsp extremity ",1
I70611,"Athscl nonbiol bypass of the extrm w intrmt claud, right leg ",1
I70612,"Athscl nonbiol bypass of the extrm w intrmt claud, left leg ",1
I70613,"Athscl nonbiol bypass of the extrm w intrmt claud, bi legs ",1
I70618,"Athscl nonbiol bypass of the extrm w intrmt claud, oth extrm ",1
I70619,"Athscl nonbiol bypass of extrm w intrmt claud, unsp extrm ",1
I70621,"Athscl nonbiol bypass of the extrm w rest pain, right leg ",1
I70622,"Athscl nonbiol bypass of the extrm w rest pain, left leg ",1
I70623,"Athscl nonbiol bypass of the extrm w rest pain, bi legs ",1
I70628,"Athscl nonbiol bypass of the extrm w rest pain, oth extrm ",1
I70629,"Athscl nonbiol bypass of the extrm w rest pain, unsp extrm ",1
I70631,Athscl nonbiol bypass of the right leg w ulceration of thigh ,1
I70632,Athscl nonbiol bypass of the right leg w ulceration of calf ,1
I70633,Athscl nonbiol bypass of the right leg w ulceration of ankle ,1
I70634,Athscl nonbiol bypass of right leg w ulcer of heel and midft ,1
I70635,Athscl nonbiol bypass of the right leg w ulcer oth prt foot ,1
I70638,Athscl nonbiol bypass of right leg w ulcer oth prt low leg ,1
I70639,Athscl nonbiol bypass of the right leg w ulcer of unsp site ,1
I70641,Athscl nonbiol bypass of the left leg w ulceration of thigh ,1
I70642,Athscl nonbiol bypass of the left leg w ulceration of calf ,1
I70643,Athscl nonbiol bypass of the left leg w ulceration of ankle ,1
I70644,Athscl nonbiol bypass of left leg w ulcer of heel and midft ,1
I70645,Athscl nonbiol bypass of the left leg w ulcer oth prt foot,1
I70648,Athscl nonbiol bypass of left leg w ulcer oth prt low leg ,1
I70649,Athscl nonbiol bypass of the left leg w ulcer of unsp site ,1
I7065,Athscl nonbiological bypass of extremity w ulceration ,1
I70661,"Athscl nonbiol bypass of the extrm w gangrene, right leg ",1
I70662,"Athscl nonbiol bypass of the extrm w gangrene, left leg ",1
I70663,"Athscl nonbiol bypass of the extrm w gangrene, bi legs",1
I70668,"Athscl nonbiol bypass of the extrm w gangrene, oth extremity ",1
I70669,"Athscl nonbiol bypass of the extrm w gangrene, unsp extrm ",1
I70691,"Oth athscl nonbiol bypass of the extremities, right leg",1
I70692,"Oth athscl nonbiological bypass of the extremities, left leg ",1
I70693,"Oth athscl nonbiol bypass of the extremities, bilateral legs ",1
I70698,"Oth athscl nonbiol bypass of the extremities, oth extremity ",1
I70699,"Oth athscl nonbiol bypass of the extremities, unsp extremity ",1
I70701,"Unsp athscl type of bypass of the extremities, right leg ",1
I70702,"Unsp athscl type of bypass of the extremities, left leg ",1
I70703,"Unsp athscl type of bypass of the extrm, bilateral legs ",1
I70708,"Unsp athscl type of bypass of the extremities, oth extremity ",1
I70709,"Unsp athscl type of bypass of the extrm, unsp extremity ",1
I70711,"Athscl type of bypass of the extrm w intrmt claud, right leg ",1
I70712,"Athscl type of bypass of the extrm w intrmt claud, left leg ",1
I70713,"Athscl type of bypass of the extrm w intrmt claud, bi legs ",1
I70718,"Athscl type of bypass of the extrm w intrmt claud, oth extrm ",1
I70719,"Athscl type of bypass of extrm w intrmt claud, unsp extrm ",1
I70721,"Athscl type of bypass of the extrm w rest pain, right leg ",1
I70722,"Athscl type of bypass of the extrm w rest pain, left leg ",1
I70723,"Athscl type of bypass of the extrm w rest pain, bi legs ",1
I70728,"Athscl type of bypass of the extrm w rest pain, oth extrm ",1
I70729,"Athscl type of bypass of the extrm w rest pain, unsp extrm ",1
I70731,Athscl type of bypass of the right leg w ulceration of thigh ,1
I70732,Athscl type of bypass of the right leg w ulceration of calf ,1
I70733,Athscl type of bypass of the right leg w ulceration of ankle ,1
I70734,Athscl type of bypass of right leg w ulcer of heel and midft ,1
I70735,Athscl type of bypass of the right leg w ulcer oth prt foot ,1
I70738,Athscl type of bypass of right leg w ulcer oth prt low leg ,1
I70739,Athscl type of bypass of the right leg w ulcer of unsp site ,1
I70741,Athscl type of bypass of the left leg w ulceration of thigh ,1
I70742,Athscl type of bypass of the left leg w ulceration of calf ,1
I70743,Athscl type of bypass of the left leg w ulceration of ankle ,1
I70744,Athscl type of bypass of left leg w ulcer of heel and midft ,1
I70745,Athscl type of bypass of the left leg w ulcer oth prt foot ,1
I70748,Athscl type of bypass of left leg w ulcer oth prt low leg ,1
I70749       ,Athscl type of bypass of the left leg w ulcer of unsp site ,1
I7075        ,Athscl type of bypass graft(s) of extremity w ulceration ,1
I70761       ,"Athscl type of bypass of the extrm w gangrene, right leg ",1
I70762      ," Athscl type of bypass of the extrm w gangrene, left leg ",1
I70763      ," Athscl type of bypass of the extrm w gangrene, bi legs",1
I70768,"Athscl type of bypass of the extrm w gangrene, oth extremity",1
I70769,"Athscl type of bypass of the extrm w gangrene, unsp extrm ",1
I70791,"Oth athscl type of bypass of the extremities, right leg ",1
